Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MTA Policy,Chrome 73.0.3683.103,This test Case MTA Existing Policy,2019-04-17 15:08:29,2019-04-17 15:15:04,6m - 35.285s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.103,,2019-04-17 15:08:48,2019-04-17 15:09:03,14.934s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-17 15:08:49,2019-04-17 15:08:49,0.008s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.103,,2019-04-17 15:08:49,2019-04-17 15:08:49,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.103,,2019-04-17 15:08:49,2019-04-17 15:08:51,2.826s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.103,,2019-04-17 15:08:51,2019-04-17 15:08:52,0.192s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-17 15:08:52,2019-04-17 15:08:56,4.025s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-17 15:08:56,2019-04-17 15:08:56,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-17 15:08:56,2019-04-17 15:09:03,7.507s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-17 15:09:03,2019-04-17 15:09:03,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.103,,2019-04-17 15:09:03,2019-04-17 15:09:03,0.001s,NOT_RUN
,,,,,,
Test Cases/TC03-MTA,Chrome 73.0.3683.103,,2019-04-17 15:09:03,2019-04-17 15:10:48,1m - 45.291s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-17 15:09:03,2019-04-17 15:09:03,0.001s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.103,,2019-04-17 15:09:03,2019-04-17 15:09:05,1.131s,PASSED
"click(findTestObject(""TC03-MTA/PolicyRecord""))",Chrome 73.0.3683.103,,2019-04-17 15:09:05,2019-04-17 15:09:07,1.994s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.103,,2019-04-17 15:09:07,2019-04-17 15:09:08,1.731s,PASSED
"setText(findTestObject(""TC03-MTA/SearchFields""), PolicyNo_Global)",Chrome 73.0.3683.103,,2019-04-17 15:09:08,2019-04-17 15:09:08,0.001s,NOT_RUN
"setText(findTestObject(""TC03-MTA/SearchFields""), MTA_PolicyNo)",Chrome 73.0.3683.103,,2019-04-17 15:09:08,2019-04-17 15:09:09,0.402s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-17 15:09:09,2019-04-17 15:09:13,4.005s,PASSED
"sendKeys(findTestObject(""TC03-MTA/SearchFields""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-17 15:09:13,2019-04-17 15:09:13,0.061s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:09:13,2019-04-17 15:09:18,5.003s,PASSED
"click(findTestObject(""TC03-MTA/ClickEdit""))",Chrome 73.0.3683.103,,2019-04-17 15:09:18,2019-04-17 15:09:21,3.085s,PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-17 15:09:21,2019-04-17 15:09:23,2.005s,PASSED
"click(findTestObject(""TC03-MTA/MTA TAB""))",Chrome 73.0.3683.103,,2019-04-17 15:09:23,2019-04-17 15:09:25,1.947s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.103,,2019-04-17 15:09:25,2019-04-17 15:09:26,1.099s,PASSED
"click(findTestObject(""TC03-MTA/GO BUTTON""))",Chrome 73.0.3683.103,,2019-04-17 15:09:26,2019-04-17 15:09:35,8.690s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.103,,2019-04-17 15:09:35,2019-04-17 15:09:36,1.647s,PASSED
"selectOptionByLabel(findTestObject(""TC03-MTA/MTA Resons Type""), ""Reason Description MTA"", false)",Chrome 73.0.3683.103,,2019-04-17 15:09:36,2019-04-17 15:09:37,0.221s,PASSED
"setText(findTestObject(""TC03-MTA/MTAReasonTextArea""), ""Only For Testing Purpose."")",Chrome 73.0.3683.103,,2019-04-17 15:09:37,2019-04-17 15:09:37,0.135s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:09:37,2019-04-17 15:09:42,5.002s,PASSED
"click(findTestObject(""TC03-MTA/MTAResonsSaveButton""))",Chrome 73.0.3683.103,,2019-04-17 15:09:42,2019-04-17 15:09:45,3.715s,PASSED
delay(4),Chrome 73.0.3683.103,,2019-04-17 15:09:45,2019-04-17 15:09:49,4.004s,PASSED
"click(findTestObject(""TC03-MTA/EditRiskItemListing""))",Chrome 73.0.3683.103,,2019-04-17 15:09:49,2019-04-17 15:09:53,3.179s,PASSED
"selectOptionByLabel(findTestObject(""TC-CreatePolicy/RiskDetails/Type""), ""Duplex"", false)",Chrome 73.0.3683.103,,2019-04-17 15:09:53,2019-04-17 15:09:53,0.166s,PASSED
"clearText(findTestObject(""TC-CreatePolicy/RiskDetails/SumInsurreTextBox""))",Chrome 73.0.3683.103,,2019-04-17 15:09:53,2019-04-17 15:09:53,0.095s,PASSED
"setText(findTestObject(""TC-CreatePolicy/RiskDetails/SumInsurreTextBox""), ""4000"")",Chrome 73.0.3683.103,,2019-04-17 15:09:53,2019-04-17 15:09:53,0.106s,PASSED
"clearText(findTestObject(""TC-CreatePolicy/RiskDetails/RoomNo""))",Chrome 73.0.3683.103,,2019-04-17 15:09:53,2019-04-17 15:09:53,0.072s,PASSED
"setText(findTestObject(""TC-CreatePolicy/RiskDetails/RoomNo""), ""2"")",Chrome 73.0.3683.103,,2019-04-17 15:09:53,2019-04-17 15:09:53,0.080s,PASSED
"clearText(findTestObject(""TC-CreatePolicy/RiskDetails/ContentSumInsure""))",Chrome 73.0.3683.103,,2019-04-17 15:09:53,2019-04-17 15:09:53,0.057s,PASSED
