Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AllAccountMatching,Chrome 74.0.3729.131,,2019-05-14 13:19:28,2019-05-14 13:20:42,1m - 13.480s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 74.0.3729.131,,2019-05-14 13:19:38,2019-05-14 13:19:49,11.345s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-14 13:19:38,2019-05-14 13:19:38,0.003s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 74.0.3729.131,,2019-05-14 13:19:38,2019-05-14 13:19:38,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), username)",Chrome 74.0.3729.131,,2019-05-14 13:19:38,2019-05-14 13:19:39,0.341s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), password)",Chrome 74.0.3729.131,,2019-05-14 13:19:39,2019-05-14 13:19:39,0.101s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-14 13:19:39,2019-05-14 13:19:43,4.020s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-14 13:19:43,2019-05-14 13:19:43,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 74.0.3729.131,,2019-05-14 13:19:43,2019-05-14 13:19:49,6.644s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 74.0.3729.131,,2019-05-14 13:19:49,2019-05-14 13:19:49,0.002s,NOT_RUN
log.logInfo(“Dipak”),Chrome 74.0.3729.131,,2019-05-14 13:19:49,2019-05-14 13:19:49,0.001s,NOT_RUN
,,,,,,
Test Cases/TC07-AccountMatching-Broker,Chrome 74.0.3729.131,Account matching of Broker Statement,2019-05-14 13:19:49,2019-05-14 13:20:41,51.435s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 74.0.3729.131,,2019-05-14 13:19:50,2019-05-14 13:19:50,0.000s,PASSED
delay(3),Chrome 74.0.3729.131,,2019-05-14 13:19:50,2019-05-14 13:19:53,3.004s,PASSED
