Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
InsurerAccountMatching,Chrome 73.0.3683.103,This is Insurer Account matching,2019-04-17 17:14:32,2019-04-17 17:16:07,1m - 34.585s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.103,,2019-04-17 17:14:40,2019-04-17 17:14:48,8.672s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-17 17:14:40,2019-04-17 17:14:40,0.005s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.103,,2019-04-17 17:14:40,2019-04-17 17:14:40,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.103,,2019-04-17 17:14:40,2019-04-17 17:14:40,0.232s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.103,,2019-04-17 17:14:40,2019-04-17 17:14:40,0.141s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-17 17:14:40,2019-04-17 17:14:44,4.021s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-17 17:14:44,2019-04-17 17:14:44,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-17 17:14:44,2019-04-17 17:14:48,4.076s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-17 17:14:48,2019-04-17 17:14:48,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.103,,2019-04-17 17:14:48,2019-04-17 17:14:48,0.002s,NOT_RUN
,,,,,,
Test Cases/TC08-AccountMatching-Insurer,Chrome 73.0.3683.103,This is Account Matching Broker,2019-04-17 17:14:48,2019-04-17 17:15:27,39.130s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-17 17:14:49,2019-04-17 17:14:49,0.001s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-17 17:14:49,2019-04-17 17:14:52,3.004s,PASSED
"scrollToElement(findTestObject(""TC04-AccountMatching-MGA/AccountManagement""), 5)",Chrome 73.0.3683.103,,2019-04-17 17:14:52,2019-04-17 17:14:52,0.044s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/AccountManagement""))",Chrome 73.0.3683.103,,2019-04-17 17:14:52,2019-04-17 17:14:52,0.079s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 17:14:52,2019-04-17 17:14:52,0.001s,NOT_RUN
"waitForElementVisible(findTestObject(""TC04-AccountMatching-MGA/AccountMatchingLink""), 4)",Chrome 73.0.3683.103,,2019-04-17 17:14:52,2019-04-17 17:14:52,0.579s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/AccountMatchingLink""))",Chrome 73.0.3683.103,,2019-04-17 17:14:52,2019-04-17 17:14:54,1.624s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 17:14:54,2019-04-17 17:14:59,5.003s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/EntityType""), ""Insurer"", false)",Chrome 73.0.3683.103,,2019-04-17 17:14:59,2019-04-17 17:14:59,0.099s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 17:14:59,2019-04-17 17:15:04,5.003s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/Entity""), ""New Insurer"", false)",Chrome 73.0.3683.103,,2019-04-17 17:15:04,2019-04-17 17:15:04,0.080s,PASSED
"waitForElementClickable(findTestObject(""TC04-AccountMatching-MGA/ClickGoButton""), 5)",Chrome 73.0.3683.103,,2019-04-17 17:15:04,2019-04-17 17:15:04,0.048s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/ClickGoButton""))",Chrome 73.0.3683.103,,2019-04-17 17:15:04,2019-04-17 17:15:06,1.581s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.103,,2019-04-17 17:15:06,2019-04-17 17:15:07,0.902s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/SelectAccount""), ""New Insurer Comission Account -- Allocated -- New Insurer-COM-ACC -- USD"", false)",Chrome 73.0.3683.103,,2019-04-17 17:15:07,2019-04-17 17:15:07,0.084s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 17:15:07,2019-04-17 17:15:12,5.002s,PASSED
"setText(findTestObject(""TC04-AccountMatching-MGA/Acc_Matching_PolicyNo_TextBox""), MTA_Policy_No)",Chrome 73.0.3683.103,,2019-04-17 17:15:12,2019-04-17 17:15:12,0.261s,PASSED
"sendKeys(findTestObject(""TC04-AccountMatching-MGA/Acc_Matching_PolicyNo_TextBox""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-17 17:15:12,2019-04-17 17:15:12,0.049s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 17:15:12,2019-04-17 17:15:17,5.003s,PASSED
"waitForElementClickable(findTestObject(""TC04-AccountMatching-MGA/CheckBox""), 5)",Chrome 73.0.3683.103,,2019-04-17 17:15:17,2019-04-17 17:15:17,0.054s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/CheckBox""))",Chrome 73.0.3683.103,,2019-04-17 17:15:17,2019-04-17 17:15:17,0.071s,PASSED
delay(4),Chrome 73.0.3683.103,,2019-04-17 17:15:17,2019-04-17 17:15:21,4.002s,PASSED
"Insurer_Comission_Amount = getText(findTestObject(""TC04-AccountMatching-MGA/MGA_Amount""))",Chrome 73.0.3683.103,,2019-04-17 17:15:21,2019-04-17 17:15:21,0.068s,PASSED
"scrollToElement(findTestObject(""TC04-AccountMatching-MGA/PAYFULL""), 5)",Chrome 73.0.3683.103,,2019-04-17 17:15:21,2019-04-17 17:15:21,0.034s,PASSED
"setText(findTestObject(""TC04-AccountMatching-MGA/PAYFULL""), Insurer_Comission_Amount)",Chrome 73.0.3683.103,,2019-04-17 17:15:21,2019-04-17 17:15:21,0.124s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/MatchAmount""))",Chrome 73.0.3683.103,,2019-04-17 17:15:21,2019-04-17 17:15:21,0.065s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 17:15:21,2019-04-17 17:15:26,5.003s,PASSED
"com.excel.helper.InsurerComission.updateTheExcel(""E:\MarkitCore\CoreApplication\Data Files\TestData\Comission.xlsx"", ""Sheet1"", Insurer_Comission_Amount)",Chrome 73.0.3683.103,,2019-04-17 17:15:26,2019-04-17 17:15:27,0.984s,PASSED
