Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 74.0.3729.108,This test case is used to create Policy,2019-04-30 11:37:57,2019-04-30 11:40:42,2m - 44.383s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 74.0.3729.108,,2019-04-30 11:38:07,2019-04-30 11:38:16,9.355s,PASSED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-30 11:38:07,2019-04-30 11:38:07,0.006s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 74.0.3729.108,,2019-04-30 11:38:07,2019-04-30 11:38:07,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 74.0.3729.108,,2019-04-30 11:38:07,2019-04-30 11:38:07,0.284s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 74.0.3729.108,,2019-04-30 11:38:07,2019-04-30 11:38:07,0.107s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 74.0.3729.108,,2019-04-30 11:38:07,2019-04-30 11:38:11,4.023s,PASSED
maximizeWindow(),Chrome 74.0.3729.108,,2019-04-30 11:38:11,2019-04-30 11:38:11,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 74.0.3729.108,,2019-04-30 11:38:11,2019-04-30 11:38:16,4.703s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 74.0.3729.108,,2019-04-30 11:38:16,2019-04-30 11:38:16,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 74.0.3729.108,,2019-04-30 11:38:16,2019-04-30 11:38:16,0.001s,NOT_RUN
,,,,,,
Test Cases/TC05-PaymentSection,Chrome 74.0.3729.108,This section is used to paid the transaction,2019-04-30 11:38:16,2019-04-30 11:38:44,28.450s,PASSED
delay(3),Chrome 74.0.3729.108,,2019-04-30 11:38:16,2019-04-30 11:38:19,3.004s,PASSED
"scrollToElement(findTestObject(""TC05-PaymentSection/Payments""), 3)",Chrome 74.0.3729.108,,2019-04-30 11:38:19,2019-04-30 11:38:19,0.055s,PASSED
"click(findTestObject(""TC05-PaymentSection/Payments""))",Chrome 74.0.3729.108,,2019-04-30 11:38:19,2019-04-30 11:38:19,0.063s,PASSED
delay(5),Chrome 74.0.3729.108,,2019-04-30 11:38:19,2019-04-30 11:38:24,5.004s,PASSED
