Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TrialBalance,Chrome 74.0.3729.157,,2019-05-16 12:17:19,2019-05-16 12:18:59,1m - 39.989s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 74.0.3729.157,,2019-05-16 12:17:33,2019-05-16 12:17:45,11.644s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,2019-05-16 12:17:34,2019-05-16 12:17:34,0.004s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 74.0.3729.157,,2019-05-16 12:17:34,2019-05-16 12:17:34,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), username)",Chrome 74.0.3729.157,,2019-05-16 12:17:34,2019-05-16 12:17:34,0.557s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), password)",Chrome 74.0.3729.157,,2019-05-16 12:17:34,2019-05-16 12:17:34,0.131s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:34,2019-05-16 12:17:38,4.022s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,2019-05-16 12:17:38,2019-05-16 12:17:38,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 74.0.3729.157,,2019-05-16 12:17:38,2019-05-16 12:17:45,6.692s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:17:45,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:17:45,0.001s,NOT_RUN
,,,,,,
Test Cases/TC11-TrialBalance-MGA,Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:18:23,37.615s,PASSED
"waitForJQueryLoad(5, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:17:45,0.067s,PASSED
"scrollToElement(findTestObject(""TC11-TrialBalance/Report""), 4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:17:45,0.062s,PASSED
"click(findTestObject(""TC11-TrialBalance/Report""), STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:17:45,0.080s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:45,2019-05-16 12:17:49,4.005s,PASSED
"scrollToElement(findTestObject(""TC11-TrialBalance/TrialBalance""), 4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:49,2019-05-16 12:17:49,0.058s,PASSED
"waitForElementClickable(findTestObject(""TC11-TrialBalance/TrialBalance""), 5, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:49,2019-05-16 12:17:50,0.042s,PASSED
"click(findTestObject(""TC11-TrialBalance/TrialBalance""), STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:50,2019-05-16 12:17:51,1.563s,PASSED
"waitForJQueryLoad(4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:51,2019-05-16 12:17:52,1.111s,PASSED
"selectOptionByLabel(findTestObject(""TC11-TrialBalance/SelectCurrency""), ""USD"", false, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:52,2019-05-16 12:17:52,0.133s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:52,2019-05-16 12:17:56,4.003s,PASSED
"click(findTestObject(""TC11-TrialBalance/SelectEntity""), STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:56,2019-05-16 12:17:56,0.131s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 74.0.3729.157,,2019-05-16 12:17:56,2019-05-16 12:18:00,4.003s,PASSED
