Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.103,,2019-04-18 12:46:59,2019-04-18 12:49:05,2m - 5.525s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.103,,2019-04-18 12:47:09,2019-04-18 12:47:20,10.264s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-18 12:47:10,2019-04-18 12:47:10,0.004s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.103,,2019-04-18 12:47:10,2019-04-18 12:47:10,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.103,,2019-04-18 12:47:10,2019-04-18 12:47:10,0.267s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.103,,2019-04-18 12:47:10,2019-04-18 12:47:10,0.116s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-18 12:47:10,2019-04-18 12:47:14,4.020s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-18 12:47:14,2019-04-18 12:47:14,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-18 12:47:14,2019-04-18 12:47:20,5.643s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-18 12:47:20,2019-04-18 12:47:20,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.103,,2019-04-18 12:47:20,2019-04-18 12:47:20,0.001s,NOT_RUN
,,,,,,
Test Cases/TC02-CreatePolicy,Chrome 73.0.3683.103,This test case is for create the Policy,2019-04-18 12:47:20,2019-04-18 12:49:04,1m - 44.248s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-18 12:47:20,2019-04-18 12:47:20,0.001s,PASSED
waitForJQueryLoad(10),Chrome 73.0.3683.103,,2019-04-18 12:47:20,2019-04-18 12:47:21,1.064s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-18 12:47:21,2019-04-18 12:47:26,5.007s,PASSED
"click(findTestObject(""TC-CreatePolicy/DashBoard/ClientSearchLink""))",Chrome 73.0.3683.103,,2019-04-18 12:47:26,2019-04-18 12:47:28,1.954s,PASSED
"setText(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), ""Dipak"")",Chrome 73.0.3683.103,,2019-04-18 12:47:28,2019-04-18 12:47:28,0.257s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-18 12:47:28,2019-04-18 12:47:33,5.002s,PASSED
